id,formula,n_atoms,theta,lam,omega
agm005959383,Sc4Tl3In,8,23.82,0.4197,252.39
agm005774653,Tb4DyCd,6,16.34,0.392,206.96
agm013115409,Ca3DyPd4,8,137.43,1.1517,314.74
agm003209065,Dy3NiPd2,12,95.6,0.9674,268.31
agm038224787,SmGa6,7,45.35,0.4925,343.28
agm002029770,VMo,2,56.59,0.5226,367.05
agm124046074,TbPr3Cd2,6,24.83,0.4637,218.34
agm115791712,NaHSe,12,264.81,1.3534,544.35
agm002164895,Sr2AgN,8,197.23,1.6189,351.79
agm001950328,Sr2AgN,4,168.77,1.411,330.89
agm003104884,SrTcN3,10,327.41,1.5325,608.5
agm014416356,Zr4Cu3Ni,8,80.09,0.6512,362.84
agm049514641,Zr4CuRu3,8,70.06,0.6781,309.63
agm006032980,Rb3PO4,16,340.2,2.1754,518.32
agm003704943,BaGeSe3,10,140.72,1.24,321.68
agm003612859,ZnGaAg2,4,20.86,0.364,330.99
agm003465205,Li2CaIn4,7,89.29,0.7748,327.36
agm116263522,SrAg4Sn,6,49.44,0.5789,272.27
agm003262965,Be3Co,8,69.37,0.3895,849.35
agm003587395,Tb3DyCo8,12,76.02,0.6604,328.24
agm008009200,ErSc2,3,9.16,0.286,287.62
agm002334836,Rb(CuSb)2,5,74.87,0.718,293.32
agm015108703,Mg2Sc2Al,5,22.39,0.322,496.6
agm013818821,Sr2HgPd,4,101.79,1.1781,246.43
agm003311924,Tb3(PmCo)2,7,89.06,0.898,277.7
agm005935091,Tb2PmCo2,5,56.62,0.6342,272.44
agm020484252,Sr2SnHg3,6,72.9,0.877,213.44
agm003773370,InGaPb6,8,25.56,0.4908,191.72
agm003299928,DyHg7,8,18.38,0.4255,189.95
agm113707121,KBeI3,10,153.09,1.4689,295.54
agm076613209,RbLaO2,8,262.62,2.4568,416.91
agm005927459,La5Ga2Pb,16,65.96,0.8255,227.5
agm005897313,Li4AgHg2,7,103.58,0.8117,347.91
agm001267697,MgGaPd,3,99.26,0.7255,378.42
agm038660300,Sr3In2Pb,6,62.9,0.8112,221.01
agm088916137,LaGdSn,6,55.95,0.728,216.15
agm076232185,ZrCoH6,8,277.91,0.7855,1073.46
agm002338579,LaGaRu,12,98.63,0.8791,301.54
agm154291347,YHo6Er,8,4.13,0.2545,198.59
agm150900550,YHo6Er,8,3.87,0.2545,198.57
agm122064263,PuGa2Sn,8,41.25,0.556,255.47
agm003612338,Y2HoEr,4,5.13,0.259,220.21
agm064138522,Dy4In3Ag,8,37.93,0.5717,217.64
agm005893987,Dy2In2Ag,5,53.58,0.6534,234.56
agm006006719,Mg4Cd2Ir,7,57.14,0.5664,342.9
agm005892273,Sr2HgGe2,5,93.4,1.0319,258.44
agm001259139,SrHgGe,3,76.29,0.886,251.21
agm003630445,TbThCo2,4,81.02,0.7855,278.3
agm014546227,Y5UIr6,12,76.71,0.9272,241.58
agm001952190,BaLiGa2,4,81.71,0.7523,335.48
agm071816344,BaLi2Ga3,6,84.93,0.6869,373.33
agm008144142,SmSc5,6,9.22,0.2785,339.66
agm046184025,Sc3CdRh4,8,83.26,0.7275,332.84
agm078685218,NdGd3,4,4.55,0.268,199.7
agm005756789,ZrAlPt6,8,47.54,0.6145,250.07
agm014004207,Tb2YCo4,7,84.68,0.721,338.17
agm006069310,ScTl4Cl7,12,158.6,1.7062,308.89
agm096845702,SrPr3Hg4,8,50.24,0.7379,194.03
agm002093750,RbLiGe,6,120.92,0.8566,379.4
agm150620842,K3AgO2,6,300.42,1.9006,481.96
agm009915599,Ca3(GaPb)2,7,111.74,1.1069,270.84
agm019357468,Y2AgHg3,6,64.53,0.7647,228.04
agm005681169,Tb2GaRu3,6,85.82,0.8404,278.72
agm003766414,MgAgAu6,8,55.94,0.664,238.0
agm002941254,Rb(TlPd)2,5,50.13,0.642,236.78
agm003637164,Tb2CeRu,8,91.86,0.9394,245.82
agm005537701,Nd6P5,11,141.17,1.195,318.32
agm001139353,Lu2ZnCo,4,39.7,0.5321,265.95
agm068830501,CsNbI6,16,126.9,1.447,251.43
agm032478664,TbTm2Hg3,6,40.28,0.6743,190.79
agm005544154,TmHg4,5,35.37,0.5759,191.52
agm065496558,CaSn4Te5,10,41.49,0.5488,259.44
agm013716566,Ca2SnTe,8,122.07,1.0492,301.75
agm013284878,Dy2SnTe,8,80.56,0.8776,231.31
agm120304066,LaLu2Zn3,6,33.13,0.4896,255.32
agm039994469,LiSc2In5,16,51.24,0.556,309.09
agm005679156,CaZn2Cd,8,61.26,0.5756,350.22
agm008045754,SmHo2,6,5.48,0.28,192.06
agm009510988,Sm3Ho5,8,6.0,0.2815,192.25
agm018183428,La4SmHo3,8,9.41,0.3235,197.01
agm013734665,La2Sm2Ho,5,5.1,0.2734,195.9
agm005948205,AcAl2Au5,8,78.95,0.8666,240.13
agm015826382,YTl3S4,8,117.11,1.204,292.82
agm005968737,Er4Mg3Hg,8,19.32,0.3996,234.85
agm078627506,CeBi3,8,35.36,0.655,183.54
agm117045781,AcCuS2,16,146.91,1.159,333.17
agm003211439,KBeP,12,157.33,0.8358,569.94
agm003293628,AcNd,4,4.19,0.268,171.17
agm002172904,NbAsO4,12,405.84,1.7102,755.55
agm006091396,BaCd4Ge3,8,57.46,0.598,277.54
agm001258317,BaCdGe,3,82.65,0.922,257.54
agm156776306,CsBa2O6,9,276.36,2.1925,441.88
agm045354998,SmDy7,8,4.4,0.2594,194.53
agm114608636,SmDy,6,4.04,0.2575,193.05
agm018438959,LaSm5Dy2,8,6.12,0.2883,194.88
agm015282946,La2SmDy,4,7.88,0.3107,198.56
agm040302724,Ca2CeAg3,6,68.02,0.718,272.79
agm130268641,LaSm3Dy2,6,5.58,0.284,194.57
agm022576813,La4SmDy2,7,7.7,0.3083,198.76
agm053608736,SmDy,8,4.94,0.2725,194.06
agm046383506,La5SmDy2,8,8.08,0.3092,199.3
agm043184635,La2Sm5Dy,8,6.07,0.2875,195.92
agm005647586,Ba2PtI,8,120.66,1.672,212.25
agm005673970,Ac2TeIr,8,80.41,1.195,197.41
agm005224927,Fe2O3F,6,518.29,1.8047,853.87
agm005752528,RbTiCl5,7,298.38,1.951,489.21
agm001086301,Ac2AgHg,4,45.42,0.7084,174.88
agm046249306,LiLaIn,6,68.45,0.69,285.53
agm037390425,Mg2CdAg4,7,55.06,0.5629,326.71
agm002656429,BaCaCd2,4,51.79,0.6544,237.42
agm005711443,BaCa2Cd3,6,51.72,0.6449,255.66
agm003600476,RbGeIr,6,90.08,0.9138,271.56
agm003310542,La2Sm3Ag2,7,58.72,0.7364,226.64
agm118587899,LaSmAg,6,38.35,0.5772,215.69
agm005847780,MgTl5In2,8,14.71,0.3918,202.14
agm002287559,MgInBr3,10,180.37,1.5427,338.24
agm069493714,Mg6TlIn,8,33.69,0.4255,368.05
agm012803547,Tb2Ga3Cu,6,67.1,0.6684,302.15
agm002107724,TaN,2,227.21,1.636,404.91
agm021104567,Nd2SmY5,8,7.25,0.2898,235.21
agm038065570,Nd2SmY5,8,6.39,0.2774,236.11
agm090807873,Nd6SmY,8,5.4,0.2748,209.18
agm133415252,Nd2Sm3Y,6,4.94,0.2665,206.15
agm001124445,Nd2SmY,4,5.95,0.283,213.47
agm009243500,Nd2Sm3Y2,7,5.82,0.283,212.66
agm131263019,AcTlPb2,8,49.05,0.8568,171.85
agm003628898,Sr2PdPt,8,128.57,1.2749,259.14
agm035527825,CaSm3Hg4,8,49.62,0.7096,197.69
agm002181769,K(CuS)2,5,160.41,0.9373,437.87
agm002236672,K3CuS2,12,186.54,1.2246,428.52
agm002261262,BaCd2Au,8,83.28,0.9525,227.72
agm003169941,Ba2CdAu,4,67.64,0.96,195.16
agm083401382,Ac4Ru,5,91.17,1.24,215.08
agm002275311,TbGa5Au,7,60.57,0.6146,298.15
agm002213144,Tb(GaAu)2,10,82.54,0.9001,253.68
agm107779940,KTl3I4,8,101.1,1.366,208.07
agm060284472,CaAcCu4,6,88.53,0.76,324.58
agm005654532,AcAl2Cu,8,61.01,0.5976,317.69
agm081647006,AcAlCu2,8,60.49,0.6139,311.03
agm002382965,PuZnSi,9,50.95,0.6107,288.66
agm002247297,ZrInPd2,4,60.94,0.6685,285.57
agm005825056,Zr6TcPd,8,38.28,0.4845,294.82
agm001231030,AcDy2Y,4,7.67,0.304,190.82
agm156873438,ScIn2Cl5,8,232.93,1.681,422.86
agm053477812,Sc3AsP2,6,190.84,0.994,494.6
agm046457335,TbDy4Ho3,8,5.09,0.2823,194.52
agm003143553,CsInSe2,8,132.71,1.3019,269.99
agm007815238,Dy2Ho5,7,3.64,0.2547,193.32
agm013089830,Dy3Ho5,8,3.65,0.2545,193.65
agm010207302,DyHo3,4,3.71,0.2538,193.22
agm092294654,DyHo,8,3.85,0.2545,193.52
agm003771207,RbIn6Au,8,57.56,0.7087,247.88
agm001226606,TmTl2Sn,4,35.93,0.5695,200.04
agm055389845,TbGa3Rh4,8,67.15,0.6701,316.93
agm002335287,Tb2Cu2Sn,10,65.69,0.6989,273.2
agm001850150,Ce2Ge,3,91.05,0.9709,264.36
agm070324105,CaCeGe,6,94.97,0.8627,300.14
agm001283875,AcHo3,4,5.76,0.2987,178.23
agm005715722,Mg2GeI6,9,131.4,1.255,303.39
agm035604088,Sc3TcNi2,6,57.65,0.5324,396.98
agm080375782,CsRbSe,6,101.75,1.1551,233.34
agm044422662,La3PmPd4,8,95.87,1.1103,259.17
agm005574398,Ca3Tl2Pb3,8,67.32,0.8485,204.59
agm068987596,Li4AlAg,6,147.99,0.724,601.32
agm083495403,Li3AlAg4,8,111.43,0.7728,403.41
agm035379174,TbY3Cu2,6,40.31,0.5421,283.93
agm052239232,Tb3YCu4,8,58.06,0.6576,274.4
agm070210314,Zr6TlPb,8,41.7,0.5403,256.86
agm002167880,Zr6NiAs2,9,88.0,0.7235,330.66
agm092133012,TbGePd3,5,52.65,0.5896,298.92
agm003761358,KTlHg5,7,38.11,0.6,193.0
agm002143428,Ba2AsCl,4,159.91,1.852,272.49
agm005890176,TbNd3Sn2,6,54.42,0.7072,218.19
agm021133610,YHo3Ag4,8,45.34,0.6119,234.35
agm005750569,CsRbTl2,8,57.14,0.8205,182.27
agm157078139,Ba2CaIn3,6,68.12,0.8433,239.33
agm018116774,Sc4Co3Pt,8,76.94,0.6277,369.03
agm005773635,CaTb2Pt3,6,76.5,0.8936,220.68
agm003609013,RbHgTe,6,80.0,0.97,217.59
agm038350413,Rb4Hg2Au,7,70.96,0.975,200.2
agm145194749,NaOsF6,16,442.71,2.233,678.75
agm082221877,Li4PdAu,6,155.77,0.962,435.94
agm068869385,LiPdAu2,4,102.09,1.003,279.77
agm082663926,Tb4Ga3Pt,8,92.27,0.9307,259.11
agm005689601,InHgAu2,8,53.51,0.673,224.41
agm104984570,AcSnPb2,8,49.7,0.8035,182.47
agm006637614,CeH5Rh,14,225.34,0.847,683.05
agm003392384,Ac2PmTl2,5,29.55,0.5642,173.52
agm036958310,Ce3Th5,8,9.89,0.3445,181.48
agm010013361,Ce3Th4,7,10.3,0.3426,184.06
agm100648764,CeTh3,8,6.32,0.304,175.02
agm005824716,Li2Ga2Au,5,135.89,0.9823,369.16
agm051365943,Ca4TlAg3,8,67.17,0.7098,278.43
agm102419631,CaTlAg2,8,52.9,0.6266,261.29
agm151376490,LaGa2PdPt,10,88.35,0.8628,277.29
agm005590478,GaPdPt,12,37.12,0.489,286.7
agm046174784,Y2CuNi2,5,93.93,0.732,373.11
agm005736350,YCu2Ni,8,79.0,0.6086,389.75
agm014111910,YCu4Ni,6,49.83,0.4753,399.4
agm070511778,SrGa3Ag,5,61.84,0.5963,324.33
agm003599695,AcHoHg,6,60.93,0.8702,185.71
agm001160959,AcHoHg2,4,40.41,0.717,177.88
agm003740067,CsKHg4,6,70.25,0.965,191.07
agm005929943,Ca5InAu2,16,123.21,1.0842,283.71
agm045414919,Cs3Tl2Cl5,10,155.89,2.0842,262.75
agm041092686,Ce2PtRh3,6,90.83,0.8764,258.28
agm045615658,ScNb2Ir9,12,38.65,0.556,251.51
agm001836470,GaReTc,3,8.76,0.286,297.31
agm006660498,CeYH6,8,183.62,0.7437,686.0
agm003312381,Tb2Cd3Rh2,7,72.63,0.781,267.74
agm069152921,DyZnIr,12,72.92,0.817,257.15
agm002220260,CeMg,4,11.58,0.307,299.12
agm003200234,CeMg,6,15.49,0.3355,299.98
agm005223587,CeMg3,4,12.88,0.2928,378.72
agm001213237,Mg2HgBi,4,47.62,0.6126,246.32
agm111363017,CeGe2Rh,8,76.6,0.7585,311.58
agm006000189,Zr3NbOs4,8,58.81,0.6801,250.16
agm002139134,CeBr4,10,170.09,1.5748,305.15
agm002201393,CeBr2,3,171.46,1.906,295.2
agm053708886,Ca3PrZn4,8,58.36,0.5717,325.28
agm090565940,CsIrSe2,8,70.28,0.8035,258.05
agm003210875,Na6PbO5,12,368.94,2.0945,612.4
agm057134176,Na8Cl6O,15,384.99,2.3074,623.42
agm002217645,K3InSb2,12,110.85,1.0414,288.45
agm003748925,KIn4Pb,6,58.57,0.7444,235.5
agm002324408,ErZn3,12,31.03,0.4215,312.05
agm128548321,TbRhAu2,8,82.42,0.937,234.82
agm005975667,Mg2SiTe4,7,100.0,0.784,357.44
agm003310710,Pm2Er3Ni2,7,84.38,0.8392,270.08
agm006001040,Sr3TmMg4,8,33.12,0.4444,299.03
agm055308672,Li2Cd3Ag,6,86.8,0.7245,339.81
agm084383290,Li2CdAg,8,107.42,0.784,397.95
agm003186165,Li2CdAg,4,113.02,0.8144,384.49
agm003186157,LiCdAg2,4,80.42,0.7135,332.41
agm111378187,Li3Cd3Ag2,8,88.35,0.7144,350.66
agm001183781,TbBiRh4,6,64.27,0.7216,261.01
agm005656669,Ba(PbCl3)2,9,161.95,1.429,325.13
agm087513545,EuCu,4,70.01,0.67,298.88
agm104450686,Ac2Al2P,5,78.0,0.826,270.38
agm078009713,RbIn4Sn2Hg,8,37.79,0.5483,235.53
agm081815205,In5SnHg2,8,14.26,0.3625,227.15
agm003260908,Tm3Lu,8,3.96,0.259,192.66
agm069376699,YHoTl6,8,20.62,0.4278,193.75
agm017446097,TbZr3N4,8,298.77,1.8408,491.38
agm003611373,LaSnH,6,107.44,0.916,328.77
agm008153988,Nb5Tc,6,14.58,0.331,307.07
agm090140711,Nb7Tc,8,13.83,0.3213,306.55
agm045220252,Sr3Br3N,14,228.53,2.0869,351.23
agm111017640,Cs2BeH4,14,244.52,1.2717,539.02
agm014083413,AcCeTe2,8,94.21,1.141,218.86
agm003085110,KAuI3,10,92.12,1.0642,253.47
agm002257450,Mn2Be,3,12.16,0.2586,572.0
agm035457263,Tb3HoN4,8,247.97,1.9667,391.55
agm002146403,LaCd2Cu,8,49.98,0.5805,278.06
agm005815968,AcSmTe6,8,68.03,0.8513,225.97
agm003201642,SmTe2,6,83.24,0.9348,232.29
agm075940468,TbHoN2,8,223.92,1.9375,390.55
agm032193276,LaAl2Pd3,6,81.57,0.7216,329.86
agm002344686,MgSn2Ru,8,71.7,0.669,312.03
agm069543075,KInAu,6,94.32,1.1014,242.65
agm002217881,KInAu,12,119.33,1.21,246.56
agm032751582,Ba4Cd3Ag,8,50.42,0.7154,205.55
agm013400692,Ce3PuAs4,8,106.96,1.168,273.84
agm001091520,Ac2HgPb,4,52.45,0.8614,160.39
agm010012939,Tb3(ZnSi)2,7,83.03,0.745,313.28
agm009899377,Tb2Cd3Ag2,7,55.54,0.6605,252.82
agm003186496,Sc2HgPt,4,62.53,0.6917,260.32
agm002199237,Cs3Te3As,7,68.95,0.9015,203.84
agm001266042,RbAgTe,3,91.97,1.018,246.61
agm003191380,Zr2InAu,4,83.9,0.862,260.43
agm003186287,ZrIn2Au,4,73.17,0.7945,253.57
agm001977018,Ac2PrNd,4,4.13,0.2657,171.38
agm003192923,YPt2Rh,4,63.51,0.727,256.2
agm014495124,Ac2Pr2Nd,5,3.96,0.2638,177.96
agm106999821,Tb3GeSe2,6,139.96,1.393,279.81
agm119439726,AcPr2Nd,8,4.27,0.2624,187.94
agm104945311,AcPr5Nd2,8,4.3,0.2612,197.97
agm001220461,Ac2PrNd,4,4.4,0.2725,171.99
agm006080117,CaY5Rh6,12,92.54,0.8351,295.11
agm038219061,Tb2DyAg3,6,49.61,0.6717,227.53
agm082448073,NaVO3,10,550.23,2.089,932.6
agm002198344,Tb(AsPd)2,10,80.47,0.7495,296.06
agm003309655,Ce2Y3Ru2,7,83.86,0.824,277.87
agm017238607,K2Tl3Pd,6,62.19,0.8183,217.15
agm153083093,PrNdLu2,4,9.75,0.3318,200.85
agm005107392,RbYTe2,4,105.43,1.1975,250.58
agm098662002,CePm3S4,8,170.78,1.5573,331.45
agm046078697,Mg3AlRh4,8,110.95,0.7573,394.58
agm005725290,Mg2AlRh3,6,106.85,0.7587,398.32
agm003195932,CaAg4Hg,6,49.34,0.61,266.01
agm083426822,ZrCdAg,6,51.07,0.574,285.57
agm006661254,CeNdH6,8,148.16,0.7048,599.61
agm003190977,Ca2AgHg,4,69.33,0.7553,261.19
agm006041065,Bi4As3Se,8,29.92,0.4773,243.85
agm003411961,Tb2Ga3Si,6,78.33,0.703,318.44
agm154113605,ZrCdIn2,8,30.61,0.4525,270.7
agm013869309,Tb2TlAg2,5,58.15,0.7413,224.95
agm002209143,La2GaCu2,5,76.65,0.7509,297.05
agm036119710,LaGa2Cu3,6,48.62,0.5046,356.03
agm121098772,K2SnBr4,14,198.3,1.8829,324.54
agm008843746,La3(ZnCu)2,7,67.7,0.6876,281.19
agm002146032,La2ZnCu2,10,79.94,0.7853,290.52
agm002945554,Y(MnSi)2,5,80.97,0.5431,458.32
agm005828208,Ac(AlZn)2,5,37.9,0.4454,325.13
agm112501222,Ac2AlZn3,6,45.46,0.58,266.12
agm003498730,Mg(MnCl3)2,9,350.27,1.7916,587.88
agm070471358,YZn3Si,5,45.86,0.4724,396.62
agm068744005,TbYZn4,6,46.25,0.5146,322.31
agm001123363,TbY2Zn,4,23.97,0.4084,261.17
agm003598057,KZnAg,6,73.02,0.646,333.05
agm001171766,CaHoIr4,6,68.99,0.8566,232.81
agm005966954,Ca2LaSi4,7,116.46,0.7585,426.42
agm002209826,SrSnF4,6,227.33,1.5486,480.79
agm002924178,Y2H2Rh,5,107.2,0.7573,428.7
agm001641509,YHPtRh2,5,98.24,0.763,363.8
agm051306591,CaHo3Ir8,12,62.67,0.7992,226.51
agm003338080,Nd3(CuSi2)2,9,92.09,0.706,357.1
agm002161523,YMgPt,9,91.45,0.8633,289.69
agm071073691,SnF2,12,362.57,2.068,559.43
agm108665586,SnF2,12,344.98,2.068,556.88
agm074279068,SnF2,9,340.21,2.068,548.05
agm002335149,Ce2CuRu2,5,91.73,0.7823,327.09
agm068119009,CaPrPd2,8,133.01,1.1438,295.6
agm034110908,Li2SmTl3,6,42.84,0.5657,235.71
agm069790956,TbNdAg4,6,58.88,0.7056,254.3
agm003422705,Tb3NdAg2,6,37.71,0.5738,217.74
agm068961876,AgHgCl3,10,190.18,1.33,377.88
agm002752900,Y2ZnPt,4,65.48,0.7546,262.16
agm103454153,YZnNi4,6,66.31,0.5268,412.31
agm078048496,Cs2PdI4,7,118.63,1.51,224.35
agm032377109,CeDy2Au3,6,67.05,0.9546,199.28
agm005532074,Dy2Au5,7,60.91,0.8723,210.36
agm005987783,RbBa2Br5,8,157.3,1.9506,262.02
agm005624594,CaTmIn,6,61.56,0.6915,244.4
agm003612866,RbAgCl2,16,215.37,1.7851,373.61
agm117228675,ZrScAl6,8,34.39,0.3692,504.78
agm005683776,Zr2Co3Ni,6,65.5,0.5551,389.24
agm002209207,Dy3(CuGe)4,11,71.89,0.674,320.14
agm046665086,K3TlBr4,8,182.73,1.996,296.86
agm013901324,Zr2Nb2Au,5,49.68,0.6026,267.89
agm070252902,ZrTiAu4,6,73.02,0.8461,243.66
agm058190517,K5I4Br,10,164.67,1.96,284.81
agm019859452,K3I2Br,12,174.88,1.996,293.0
agm002217750,KTlBr3,10,158.96,1.7646,284.41
agm014103260,KTl3Br4,8,131.31,1.636,240.17
agm006118016,Tl5IBr8,14,112.66,1.2858,248.65
agm006092050,TbP3Ru4,8,61.22,0.5711,377.67
agm092987066,ScZnCu4,6,48.91,0.4781,414.29
agm005553925,Sc2Zn3Cu2,7,60.94,0.5226,417.35
agm046135729,RbPb2Cl5,16,127.1,1.1493,297.13
agm088886184,Na2VF6,9,593.71,2.68,872.33
agm012358702,Cs2LaBr5,16,164.16,2.0742,261.76
agm003201516,ThGe2,6,62.28,0.7292,261.48
agm098414007,NaAlH6,16,674.87,0.9441,1857.95
agm005772321,ZrTi2Os3,6,56.84,0.6438,273.71
agm003397778,K2HgTe2,10,92.96,1.0166,256.88
agm015676051,MgTaOs,6,56.89,0.643,269.0
agm038990943,MgTa2Os3,12,64.47,0.7365,246.2
agm006097967,Y(Si2Ir3)2,11,47.68,0.5504,296.06
agm005832426,CeBiAu4,6,70.26,0.9139,204.46
agm043416527,PmYSb2,4,92.03,1.0375,259.62
agm004793807,Sc4CdCu2Rh,8,80.53,0.657,370.39
agm069489452,PmY4Er,6,7.12,0.283,235.8
agm070295471,PmYEr6,8,5.55,0.2778,199.5
agm133243974,Zn3GaNi4,8,34.07,0.394,436.12
agm058448721,Ac4Mg3Zn,8,20.26,0.4252,210.11
agm070085551,NaNbF6,16,586.39,2.593,805.71
agm125985480,CsPbCl3,10,147.44,1.5514,294.19
agm003437133,Sc3GaCu2,6,59.15,0.5226,396.67
agm054810317,Sc4Ga3Cu,8,52.81,0.5017,385.68
agm002759631,CdHgCl2,4,122.75,1.1482,285.31
agm100849806,Rb2HgCl8,11,194.96,1.564,387.18
agm005825175,La2Cu3Pt,6,93.26,0.844,286.61
agm003206429,RbGeCl3,10,244.71,1.9276,397.26
agm005750257,LaCuHg5,7,45.25,0.61,213.33
agm002141079,Ca(SnAs)2,5,106.53,0.88,330.8
agm001834011,LaErCu,3,46.09,0.6088,244.07
agm003206343,Cs2SnAs2,10,81.16,0.9931,239.34
agm002274800,Ce6Ga2Pt,9,56.49,0.6972,241.62
agm003210896,CeGaPt,12,87.15,0.9806,254.55
agm003189220,Li2HoIn,4,60.44,0.6261,324.65
agm039526575,LiHo2In5,16,45.98,0.595,255.76
agm031615793,Sc4IrRu3,8,74.88,0.682,327.88
agm018896344,CsGa3Br8,12,168.88,1.609,316.53
agm005929094,Pm4CdAg3,8,53.16,0.646,226.54
agm040528479,Pm2CdAg3,6,70.05,0.7485,250.82
agm003422013,PmY3Cd2,6,25.66,0.4402,246.89
agm067477893,Pm7Sc,8,7.27,0.2931,214.18
agm002354321,Sc2SbBr2,5,164.43,1.2805,364.54
agm082966931,Ac(MgAu)2,5,90.87,1.0492,239.67
agm135446928,RbSb2Br7,10,152.25,1.3853,307.24
agm003605598,LiPmMg,6,27.32,0.392,351.85
agm046909360,LiMgPb,6,123.19,0.9925,317.09
agm001229307,ZrTiZn2,4,28.27,0.3876,362.27
agm005980816,Ti4NbPd3,8,60.42,0.5785,355.04
agm002145822,LaInCu2,8,59.61,0.6426,300.53
agm052014258,CaLa3Zn4,8,44.36,0.5489,272.5
agm002439992,CaLa3Co,5,58.38,0.646,261.9
agm069315808,CaLa2Co,8,53.48,0.6287,273.85
agm003466081,PmY2Tm5,8,5.98,0.286,205.13
agm102605770,Pm2Y4Tm,7,5.81,0.2654,229.22
agm005822806,RbAcTe4,12,86.18,1.0708,219.01
agm035438898,AcCu3Ni2,6,48.14,0.5167,337.92
agm003554589,Ac4PdAu3,8,99.87,1.3362,191.98
agm005814258,AcPd3Au2,6,63.76,0.7769,233.72
agm016594904,AcPdAu,6,81.56,1.0831,215.04
agm001218766,DyPd2Au,4,77.56,0.844,252.77
agm005708240,Tb3RuAu2,6,75.96,1.0005,217.24
agm003438429,TbSc2Au3,6,76.68,0.9398,237.24
agm005625913,Mg2TeSe,8,181.9,1.1635,413.65
agm003621616,SrCa2Cd,8,50.33,0.5805,288.24
agm003600223,AcAgPd,6,82.01,0.952,229.93
agm077869040,BaSr2Ca,4,6.84,0.2924,218.83
agm003171777,BaSrCa2,4,9.4,0.307,246.53
agm126335725,BaSr6Ca,8,5.61,0.2747,224.61
agm092546972,BaSr6Ca,8,5.66,0.2747,224.06
agm103850460,LiLuPt,6,99.64,0.9346,271.46
agm101061891,Li2LuPt3,6,105.96,1.001,279.35
agm001156968,CaPrPb2,4,79.56,1.009,208.66
agm003769350,V6CrFe,8,16.71,0.3017,460.29
agm050698631,V4Cr3Fe,8,16.98,0.3037,463.64
agm042861090,CePmSb2,4,96.45,1.0825,243.19
agm013451282,CsGaGe,6,71.97,0.7252,290.78
agm012997980,Sc4CoPd3,8,86.48,0.6956,356.79
agm005832016,Ce2HgH2,5,83.92,0.7802,303.48
agm003398630,Li2ThSi2,5,100.26,0.7231,396.53
agm130522731,CsLi2F3,6,391.79,2.1874,559.0
agm003609401,CeReTc,6,51.87,0.64,247.49
agm032426748,Sc2GaIr3,6,54.48,0.6333,276.26
agm003554277,Sc4Ga3Ir,8,94.26,0.7031,367.42
agm003391743,Tb2ScGa2,5,64.71,0.6973,283.19
agm093336172,Ac3IrPd2,6,84.21,1.1457,210.26
agm015240119,Pm2ErTm2,5,6.73,0.2914,194.1
agm010193450,ErTm,4,3.91,0.256,191.04
agm001194639,Er5Tm,6,3.53,0.253,191.37
agm014355960,Er2TmTh2,5,4.45,0.2698,180.42
agm019310330,Sc3Ag2Os,6,73.8,0.6712,309.84
agm002137009,La(BIr)2,10,86.51,0.7995,313.52
agm070388413,CaTmIr,12,82.48,0.9282,240.14
agm069063048,Ac2InPb,8,73.66,1.0036,181.72
agm001197681,CeAlSn2,4,62.56,0.6805,273.35
agm005972587,Ac4InHg3,8,37.8,0.7058,167.04
agm007893022,TiMo7,8,24.44,0.3895,323.43
agm078476400,NaAgF2,8,419.79,2.77,609.09
agm003764131,NaAgF6,8,504.12,2.395,781.58
agm088464225,NaAg4F5,10,332.35,2.1608,493.34
agm002294796,Eu2Ni2Pb,5,90.49,0.957,255.11
agm004890520,NaAgHg2F8,12,350.67,2.374,533.47
agm002233261,CeNiP,3,122.66,0.892,368.06
agm014195095,Ho3Sc2,5,6.22,0.2734,239.55
agm087248616,Rb3Co2Cl7,12,228.31,1.8937,419.45
agm005754347,HgSeO4,12,287.19,1.15,667.01
agm005685787,Sc2Fe3Co,6,65.54,0.5173,443.13
agm118574985,Gd2PdPt,4,96.35,1.078,239.83
agm003010429,La2InRh2,10,100.21,1.0276,257.56
agm005694107,Tb2BeIr3,6,73.33,0.7839,251.34
agm003469398,Na2PdF5,8,513.72,2.5916,715.74
agm002380080,Dy6Tl2Rh,9,37.73,0.6175,203.56
agm062909879,Sm2ErMg,4,7.04,0.2924,221.93
agm091171082,SmEr3Mg4,8,9.04,0.3018,259.15
agm033552222,La2Ge2Pb,5,90.63,1.047,239.91
agm152557302,K5CdAu2,8,107.06,1.1023,261.37
agm005963020,Ca3CeTl4,8,33.8,0.565,213.68
agm034971231,Sr2CaPb3,6,84.45,1.068,209.78
agm003630227,AcPrNi2,4,81.18,0.859,276.79
agm006436096,Fe3CoH4,8,148.79,0.5718,890.79
agm005837372,Li(TbIr)2,5,86.52,0.9763,253.33
agm135603887,Tb3PmSm4,8,5.69,0.2837,196.84
agm003769885,Tb6PmSm,8,5.14,0.2725,198.97
agm113374264,Tb6PmSm,8,4.52,0.2702,199.29
agm002926251,Cs(TlIn)2,5,41.63,0.6169,198.22
agm093511539,LiZnAg2,8,88.99,0.7195,371.56
agm003436955,Ca2TbCd3,6,51.81,0.592,258.22
agm090217156,Pm3H2Pd9,14,82.13,0.7734,318.88
agm005947456,Ba4GaHg3,8,55.84,0.8025,187.63
agm006023196,Pm3UAs4,8,115.42,1.1388,271.56
